"<img src=""Uke_C.svg"">",C,Basic
"<img src=""Uke_Cm.svg"">",Cm,Basic
"<img src=""Uke_C7.svg"">",C7,Seventh
"<img src=""Uke_Cmaj7.svg"">",Cmaj7,Seventh
"<img src=""Uke_Cm7.svg"">",Cm7,Seventh
"<img src=""Uke_C6.svg"">",C6,Basic
"<img src=""Uke_D.svg"">",D,Basic
"<img src=""Uke_Dm.svg"">",Dm,Basic
"<img src=""Uke_D7.svg"">",D7,Seventh
"<img src=""Uke_Dmaj7.svg"">",Dmaj7,Seventh
"<img src=""Uke_Dm7.svg"">",Dm7,Seventh
"<img src=""Uke_D6.svg"">",D6,Basic
"<img src=""Uke_E.svg"">",E,Basic
"<img src=""Uke_Em.svg"">",Em,Basic
"<img src=""Uke_E7.svg"">",E7,Seventh
"<img src=""Uke_Emaj7.svg"">",Emaj7,Seventh
"<img src=""Uke_Em7.svg"">",Em7,Seventh
"<img src=""Uke_E6.svg"">",E6,Basic
"<img src=""Uke_F.svg"">",F,Basic
"<img src=""Uke_Fm.svg"">",Fm,Basic
"<img src=""Uke_F7.svg"">",F7,Seventh
"<img src=""Uke_Fmaj7.svg"">",Fmaj7,Seventh
"<img src=""Uke_Fm7.svg"">",Fm7,Seventh
"<img src=""Uke_F6.svg"">",F6,Basic
"<img src=""Uke_G.svg"">",G,Basic
"<img src=""Uke_Gm.svg"">",Gm,Basic
"<img src=""Uke_G7.svg"">",G7,Seventh
"<img src=""Uke_Gmaj7.svg"">",Gmaj7,Seventh
"<img src=""Uke_Gm7.svg"">",Gm7,Seventh
"<img src=""Uke_G6.svg"">",G6,Basic
"<img src=""Uke_A.svg"">",A,Basic
"<img src=""Uke_Am.svg"">",Am,Basic
"<img src=""Uke_A7.svg"">",A7,Seventh
"<img src=""Uke_Amaj7.svg"">",Amaj7,Seventh
"<img src=""Uke_Am7.svg"">",Am7,Seventh
"<img src=""Uke_A6.svg"">",A6,Basic
"<img src=""Uke_B.svg"">",B,Basic
"<img src=""Uke_Bm.svg"">",Bm,Basic
"<img src=""Uke_B7.svg"">",B7,Seventh
"<img src=""Uke_Bmaj7.svg"">",Bmaj7,Seventh
"<img src=""Uke_Bm7.svg"">",Bm7,Seventh
"<img src=""Uke_B6.svg"">",B6,Basic
